method,family,auc_mean,auc_std,n_feat,feat_ratio,stab_nog,stab_jac,runtime,n_datasets
ga,Evolutionary,0.914,0.10008607295723017,953.3181818181819,0.02897272727272727,0.36198183623227204,0.2369096004932939,19.254545454545454,11
extratrees,Wrapper,0.9135090909090909,0.1022610136322289,407.72727272727275,0.013690909090909092,0.2635052583434365,0.15940070591372404,0.16272727272727272,11
bpso,Evolutionary,0.912409090909091,0.10272119990094988,895.1454545454545,0.02723636363636364,0.33694882826371625,0.21712980360215825,12.285454545454543,11
rfecv,Wrapper,0.9106636363636365,0.1011157086977812,350.3818181818182,0.011518181818181818,0.34478096528486774,0.21240289380618835,0.3727272727272728,11
elasticnet,Embedded,0.9106181818181818,0.10556503036689581,313.25454545454545,0.008427272727272728,0.5159333673390475,0.36836989611296195,105.50999999999999,11
relieff,Filter,0.9091363636363637,0.11136290471002692,50.0,0.0014909090909090911,0.6353530125184492,0.49796471373164836,2.943636363636364,11
mrmr,Filter,0.9056000000000001,0.11701659711340097,50.0,0.0014909090909090911,0.6113275506279685,0.47110822798894586,3.9181818181818184,11
anova,Filter,0.9006818181818183,0.12993232714133784,50.0,0.0014909090909090911,0.6589409546418623,0.5156077105153124,0.053636363636363635,11
linearsvc_l1,Embedded,0.8995090909090909,0.12114149953294664,34.654545454545456,0.0011272727272727272,0.3178564526818015,0.19791302724695028,0.06181818181818182,11
l1_logistic,Embedded,0.8966999999999999,0.13299232308671058,32.56363636363636,0.0009727272727272727,0.4151426228609952,0.2792812350002465,0.19454545454545455,11
boruta,Wrapper,0.8951090909090909,0.134922959162223,116.84545454545454,0.003,0.5395523689009927,0.39660839652466573,61.32,11
sfe,Evolutionary,0.894490909090909,0.13236712170735943,413.7181818181818,0.009936363636363636,0.16402782093394885,0.08335467816470286,0.6809090909090909,11
mel,Evolutionary,0.894490909090909,0.10771331816024847,21.181818181818183,0.0008818181818181819,0.009149150414900347,0.0045816670997446485,18.904545454545453,11
mi,Filter,0.8887,0.14564163553050344,50.0,0.0014909090909090911,0.4523544365709478,0.31612519169823805,42.8,11
variance,Filter,0.855709090909091,0.14592262644665804,50.0,0.0014909090909090911,0.002092263915322044,0.0018158138455367,0.013636363636363636,11
